State,IHE_Name,Program_Title,Program_Type,Level_of_Degree,Format,Alternate_Route_to_Certification,Category_of_Credentialing,URL_for_Program
Illinois,Southern Illinois University-Carbondale,B.S. Special Education with Early Childhood Special Education approval,ECSE,Bachelors,In Person,No,ECSE and Special Education,https://ehs.siu.edu/academics/undergraduate/special-education/index.html
Illinois,Southern Illinois University-Edwardsville,Southern Illinois University-Edwardsville with ECSE approval,ECSE,Bachelors,In Person,No,ECSE and Special Education,https://www.siue.edu/academics/undergraduate/degrees-and-programs/special-education/index.shtml
Illinois,University of Illinois Chicago,Early Childhood Special Education Approval,ECSE,No Degree,In Person,No,ECSE,https://education.uic.edu/academics/licensure-endorsements-credentials/endorsements/early-childhood-special-education-endorsement/
Illinois,University of Illinois Chicago,MEd Early Childhood Education (with Early Childhood Special Education Approval),Blended,Masters,In Person,No,Dual,https://education.uic.edu/academics/masters-programs/early-childhood-education/
Illinois,University of Illinois Urbana-Champaign,EdM: Infancy & Early Childhood Special Education - One-Year Program Option,ECSE,Masters,In Person,No,No license,https://education.illinois.edu/sped/programs-degrees/ecse
Illinois,University of Illinois Urbana-Champaign,EdM: Infancy & Early Childhood Special Education - Two-Year Program Option,ECSE,Masters,In Person,No,No license,https://education.illinois.edu/sped/programs-degrees/ecse
Illinois,University of Illinois Urbana-Champaign,MS: Infancy & Early Childhood Special Education - Two-Year Program Option,ECSE,Masters,In Person,No,No license,https://education.illinois.edu/sped/programs-degrees/ecse
Illinois,University of Illinois Urbana-Champaign,"Special Education, MS with ECSE",ECSE,Masters,In Person,No,ECSE and Special Education,http://catalog.illinois.edu/graduate/education/special-education-ms/
Illinois,University of Illinois Urbana-Champaign,EdM: Infancy & Early Childhood Special Education - Three-Year Program Option,Blended,Masters,In Person,No,No license,https://education.illinois.edu/sped/programs-degrees/ecse
Indiana,American College of Education,M.Ed Special Education Focus of Study ECE,Dual,Masters,In Person,No,No license,https://www.ace.edu/program/master-of-education-in-special-education#courseplan
Indiana,Anderson University,Special Education Minor - Exceptional Needs: Mild Intervention P-12* (Available to Elementary and Secondary Ed. Majors),Special Education,Bachelors,In Person,No,Special Education,https://anderson.edu/academics/education-minors/
Indiana,Ball State University,"B.A. or B.S., Exceptional Needs: Early Childhood Special Education Major",ECSE,Bachelors,In Person,No,Special Education,https://bsu.smartcatalogiq.com/2022-2023/Undergraduate-Catalog/Teachers-College/Special-Education/Teaching-Major-in-Exceptional-Needs-Early-Childhood-Special-Education-BABS
Indiana,Ball State University,License Addition for Exceptional Needs: Early Childhood Special Education,ECSE,Post Bac. Certificate,Online,No,ECE and Special Education,https://www.bsu.edu/academics/collegesanddepartments/online/academic-programs/licenses/early-childhood
Indiana,Ball State University,Master's Degree in Special Education Early Childhood Special Education License,ECSE,Masters,Online,No,ECE and Special Education,https://www.bsu.edu/academics/collegesanddepartments/online/academic-programs/masters/maspecialed
Indiana,Ball State University,"B.A., Early Childhood and Early Childhood Special Education Dual Major",Dual,Bachelors,In Person,No,ECE and Special Education,https://bsu.smartcatalogiq.com/2022-2023/Undergraduate-Catalog/Teachers-College/Interdepartmental-Programs/Dual-Major-in-Early-Childhood-and-Early-Childhood-Special-Education-BABS
Indiana,Ball State University,"B.A. or B.S, Major in Exceptional Needs: Deaf Education Major",Special Education,Bachelors,In Person,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/special-education/academic-programs/bachelors/deaf-education
Indiana,Ball State University,"B.A. or B.S, Major in Exceptional Needs: Intense Interventions",Special Education,Bachelors,In Person,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/special-education/academic-programs/bachelors/intense-interventions
Indiana,Ball State University,"B.A. or B.S., Major in Exceptional Needs: Mild Interventions",Special Education,Bachelors,In Person,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/special-education/academic-programs/bachelors/mild-interventions
Indiana,Ball State University,Master's Degree in Special Education Deaf and Hard-of-Hearing License,Special Education,Masters,Online,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/online/academic-programs/masters/maspecialed
Indiana,Ball State University,Master's Degree in Special Education Intense Interventions License,Special Education,Masters,Online,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/online/academic-programs/masters/maspecialed
Indiana,Ball State University,Master's Degree in Special Education Mild Interventions License,Special Education,Masters,Online,No,Special Education,https://www.bsu.edu/academics/collegesanddepartments/online/academic-programs/masters/maspecialed
Indiana,Butler University,Special Education – Mild Intervention Certificate and Licensure Pathway,Special Education,Post Bac. Certificate,Hybrid,No,Special Education,https://majors.butler.edu/special-education-mild-intervention/
Indiana,Goshen College,Exceptional Needs: K-12 Mild Intervention with Certification (Available in conjunction with Elementary Education certificate),Special Education,No Degree,In Person,No,Special Education,pg 104 https://www.goshen.edu/gcdocs/catalogs/2022-2023_catalog.pdf
Indiana,"Grace College and Theological Seminary, Winona Lake",Elementary Education / Special Education Dual License Program (Licensure in Mild Interventions),Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,https://www.grace.edu/programs/elementary-education-mild-intervention/
Indiana,"Grace College and Theological Seminary, Winona Lake",Intense Intervention Graduate Licensure Program,Special Education,Graduate Certificate,In Person,No,Special Education,https://online.grace.edu/programs/intense-intervention-graduate-licensure-program/
Indiana,Hanover College,Dual License option in Mild Intervention (P-12) *Available to those pursuing elementary licensure (dual license in elementary education and mild interventions p-12),Special Education,No Degree,In Person,No,Elementary Ed and Special Education,TWO LINKS: https://education.hanover.edu/prospects/special.php   https://hanover.hykucommons.org/concern/generic_works/e30b5c79-c8d5-4822-acf9-4d1b22ed5834?q=course%20catalog
Indiana,Huntington University,Major in Elementary and Special Education with Dual Licensure in Elementary and Special Needs: Mild Intervention,Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,TWO LINKS: https://www.huntington.edu/education/programs/special-education     https://www.huntington.edu/uploads/documents/academic_catalog_undergraduate_huntington_2022-2023.pdf
Indiana,Indiana State University,Special Education BS,Special Education,Bachelors,In Person,No,Special Education,https://www.indstate.edu/academics/undergraduate/majors/special-education
Indiana,Indiana State University,Deaf/Hard of Hearing Licensure Program,Special Education,No Degree,Online,No,Special Education,TWO LINKS: https://www.indstate.edu/academics/online/graduate/certificate-licensure/deaf-hard-of-hearing    https://catalog.indstate.edu/preview_program.php?catoid=54&poid=9819&returnto=2531
Indiana,Indiana State University,The Visual Impairment: Non-degree License Program for Exceptional Needs,Special Education,No Degree,In Person,No,Special Education,https://www.indstate.edu/education/teach/department-teaching-and-learning-add-licensure-programs
Indiana,Indiana State University,Special Education MS,Special Education,Masters,Online,No,Special Education,https://catalog.indstate.edu/preview_program.php?catoid=54&poid=9791&returnto=2531
Indiana,Indiana University-Bloomington,B.S.Ed. Early Childhood Education with concentration in Special Education,Dual,Bachelors,In Person,No,ECE and Special Education,TWO LINKS: https://education.indiana.edu/programs/undergraduate/majors/early-childhood-education.html https://education.indiana.edu/students/undergraduates/academic-advising/program-sheets/_docs/2020/Early-Childhood/Early-Childhood-Education-May-2020.pdf
Indiana,Indiana University-Bloomington,Fast-Track Special Education License – Transition to Teach (Online) – Initial License in Exceptional Needs: Mild Intervention (P-12),Special Education,No Degree,Online,No,Special Education,https://education.indiana.edu/programs/graduate/licensure/fast-track-special-education-license.html
Indiana,Indiana University-Bloomington,Special Education Graduate License Addition: Exceptional Needs - Mild Intervention,Special Education,Graduate Certificate,In Person or Online ,No,Special Education,https://education.indiana.edu/students/graduates/licensure/_docs/Graduate-License-Addition-in-Exceptional-Needs-Mild-Intervention-May-2021.pdf
Indiana,Indiana University-Bloomington,M.S.Ed. in Special Education (Online) without licensure,Special Education,Masters,Online,No,No license,https://education.indiana.edu/programs/graduate/masters/special-education.html
Indiana,Indiana University-Bloomington,M.S.Ed. in Special Education with Initial License in Exceptional Needs – Mild Intervention,Special Education,Masters,Online,No,Special Education,https://education.indiana.edu/programs/graduate/masters/special-education.html
Indiana,Indiana University-Bloomington,M.S.Ed. in Special Education with License Addition in Exceptional Needs – Mild Intervention,Special Education,Masters,Online,No,Special Education,https://education.indiana.edu/programs/graduate/masters/special-education.html
Indiana,Indiana University-Bloomington,Ed.S. in Education-Special,Special Education,Ed.S.,In Person,No,No license,https://bulletins.iu.edu/iu/educ-grad/current/ci/eds-education-special-education.shtml
Indiana,Indiana University-Bloomington,Ph.D. in Special Education,Special Education,Doctorate,In Person,No,No license,https://education.indiana.edu/programs/graduate/doctoral/phd-special-education.html
Indiana,Indiana University-Kokomo,Exceptional Needs - Minor Mild Intervention License (Available to Elementary or Secondary Education Bachelor degrees),Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,TWO LINKS: https://bulletins.iu.edu/iuk/2020-2021/majors-minors/school-of-education/index.shtml  https://bulletins.iu.edu/iuk/2020-2021/majors-minors/school-of-education/exceptional-learners-mild-intervention.shtml
Indiana,Indiana University-Northwest,B.S. ELEMENTARY/SPECIAL EDUCATION,Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,TWO LINKS: https://northwest.iu.edu/education/initial-programs/elementary-special-edu-initial.html  https://www.iun.edu/bulletin/archives/2020-2022/schools/education/bs-education/elementary-special-ed/general.shtml
Indiana,Indiana University-Northwest,Graduate Initial License - Mild Interventions (K-12),Special Education,No Degree,In Person,No,Special Education,https://www.iun.edu/education/masters-program/graduate-initial-license.htm
Indiana,Indiana University-Purdue University-Columbus,B.S. Elementary - Special Education,Special Education,Bachelors,In Person,No,Special Education,https://www.iupuc.edu/education/elementary/special-education/index.html
Indiana,Indiana University-Purdue University-Indianapolis,BS in Early Childhood Education with Special Education Dual License,Dual,Bachelors,In Person,No,ECE and Special Education,TWO LINKS : https://education.iupui.edu/academics/degrees-programs/bachelors/early-childhood/index.html and https://education.iupui.edu/academics/degrees-programs/dual/special-education/bachelors.html
Indiana,Indiana University-Purdue University-Indianapolis,Intense Intervention - License Only,Special Education,No Degree,In Person,No,Special Education,https://education.iupui.edu/doc/academics/prospective-students-info/intense-intervention-license-only-.pdf
Indiana,Indiana University-Purdue University-Indianapolis,Mild Intervention - License Only,Special Education,No Degree,In Person,No,Special Education,https://education.iupui.edu/doc/academics/prospective-students-info/mild-intervention-license-only-.pdf
Indiana,Indiana University-Purdue University-Indianapolis,Master’s program in special education (33 credits) Non-Certification,Special Education,Masters,In Person,No,No license,https://education.iupui.edu/academics/degrees-programs/dual/special-education/masters.html
Indiana,Indiana University-Purdue University-Indianapolis,Master’s Program in Special Education with Mild and Intense Interventions Certification (39 credits),Special Education,Masters,In Person,No,Special Education,https://education.iupui.edu/academics/degrees-programs/dual/special-education/masters.html
Indiana,Indiana University-South Bend,BS in Education/Special Education with Mild Intervention Licensure and Early Childhood Concentration (with Certification),Dual,Bachelors,In Person,No,ECE and Special Education,https://bulletins.iu.edu/iusb/2021-2022/schools/school-education/teacher-education-dept/special-ed-bs.shtml
Indiana,Indiana University-South Bend,Graduate Licensure: Intense Intervention,Special Education,No Degree,In Person,No,Special Education,https://bulletins.iu.edu/iusb/2021-2022/schools/school-education/teacher-education-dept/special-ed-intense-interventions-cert.shtml
Indiana,Indiana University-South Bend,MAT in Special Education with Mild Intervention licensure,Special Education,Masters,In Person,No,Special Education,https://bulletins.iu.edu/iusb/2021-2022/schools/school-education/teacher-education-dept/special-ed-grad-mat.shtml
Indiana,Indiana University-Southeast,BS in Special Education with K-12 Mild Intervention licensure,Special Education,Bachelors,In Person,No,Special Education,https://www.ius.edu/education/undergraduate-programs/special-education/degrees/bs-special-education.php
Indiana,Indiana University-Southeast,Special Education License (Graduate Level),Special Education,No Degree,In Person,No,Special Education,https://www.ius.edu/graduate-education/licenses/special-education.php
Indiana,Indiana Wesleyan University-Marion,BS Exceptional needs education with added intense intervention concentration,Special Education,Bachelors,In Person,No,Special Education,http://indwes.smartcatalogiq.com/Current/Catalog/College-of-Arts-and-Sciences/School-of-Professional-Studies/School-of-Teacher-Education/Exceptional-Needs-Education-P12-Certification/Exceptional-Needs-Education-BS
Indiana,Indiana Wesleyan University-Marion,Transition to Teaching (TTT) Special Education,Special Education,No Degree,Online,Yes,Special Education,https://www.indwes.edu/adult-graduate/programs/transition-to-teaching/special-education/#requirements
Indiana,Indiana Wesleyan University-Marion,Special education teaching certificate,Special Education,Post Bac. Certificate,In Person or Online ,No,Special Education,http://indwes.smartcatalogiq.com/en/2020-2021/Catalog/College-of-Adult-and-Professional-Studies-CAPS/School-of-Educational-Leadership/Academic-Programs-School-of-Educational-Leadership/Graduate-Certificate-Programs/Special-Education-Teaching-Certificate-Program/Special-Education-Teaching-Certificate-Indiana-Licensure
Indiana,Indiana Wesleyan University-Marion,MS Special Education (Licensure in Exceptional Needs-Mild Intervention),Special Education,Integrated Bachelors/Masters,In Person or Online ,No,Special Education,TWO LINKS: https://www.indwes.edu/adult-graduate/programs/ms-special-education/ http://indwes.smartcatalogiq.com/2020-2021/Catalog/College-of-Adult-and-Professional-Studies-CAPS/School-of-Educational-Leadership/Academic-Programs-School-of-Educational-Leadership/Master-of-Science-Programs/MS-Special-Education-Major-Indiana-Licensure
Indiana,Manchester University,Mild Intervention concentration / license (available with Elementary Education major),Special Education,Bachelors,In Person,No,Special Education,https://www.manchester.edu/academics/colleges/college-of-education-social-sciences/academic-programs/education/education-home/education-majors/licensure-areas/elementary-(k-6)
Indiana,Marian University,"Elementary Education Major with Minor in Special Education Program Exceptional Needs, Mild Intervention (with licensure)",Special Education,Bachelors,In Person,No,Special Education,THREE LINKS Page 67 https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0 Page 25 for credit requirements https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0
Indiana,Marian University,Major for Bachelor of Arts Degree (B.A.) in Special Education: P-12 (with mild intervention license),Special Education,Bachelors,In Person,No,Special Education,TWO LINKS Page 67 https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0 Page 25 for credit requirements https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0
Indiana,Marian University,"Major for Bachelor of Arts Degree (B.A.) in Special Education: P-12 and
a Masters of Arts Degree in Teaching (M.A.T.) (with mild intervention license)",Special Education,Integrated Bachelors/Masters,In Person,No,Special Education,TWO LINKS Page 67 https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0 Page 25 for credit requirements https://www.marian.edu/docs/default-source/default-document-library/2020-21-undergraduate-catalog-of-programsa0d92ca6aa9e67109802ff010074f04b.pdf?sfvrsn=0
Indiana,Oakland City University,Bachelor of Arts degree in Special Education,Special Education,Bachelors,In Person,No,Special Education,TWO LINKS: https://www.oak.edu/academics/undergraduate-majors-and-minors/special-education-mild-intervention-all-grade/  and pg 158: https://www.oak.edu/wp-content/uploads/2021/08/2021-2022-Undergraduate-Academic-Catalog_web-updated-12.7.21.pdf
Indiana,Oakland City University,Bachelor of Arts in Elementary Education Double Major with Special Education - Mild Intervention (All Grade),Special Education,Bachelors,In Person,No,Special Education,TWO LINKS: https://www.oak.edu/academics/undergraduate-majors-and-minors/elementary-education-special-education/   and page 157: https://www.oak.edu/wp-content/uploads/2021/08/2021-2022-Undergraduate-Academic-Catalog_web-updated-12.7.21.pdf
Indiana,Oakland City University,"Special Education Transition to Teaching (T2T) NON-DEGREE, LICENSURE PROGRAM",Special Education,No Degree,In Person,Yes,Special Education,https://www.oak.edu/academics/graduate-studies/transition-to-teaching/
Indiana,Purdue University Fort Wayne,BSEd in ECE with Mild Intervention Minor/Dual License,Dual,Bachelors,In Person,No,ECE and Special Education,See both https://catalog.pfw.edu/preview_program.php?catoid=60&poid=15027&hl=%22Mild+Intervention+Minor%2FDual+License%22&returnto=search   https://catalog.pfw.edu/preview_program.php?catoid=60&poid=15115&hl=%22elementary%22&returnto=search
Indiana,Purdue University Fort Wayne,Transition To Teaching Programs,Special Education,No Degree,In Person,Yes,Special Education,https://catalog.pfw.edu/preview_program.php?catoid=61&poid=15954&returnto=3266&_ga=2.82086998.1366360409.1668623827-291602231.1668623827
Indiana,Purdue University Fort Wayne,Special Education Graduate Certification in Mild Intervention,Special Education,Graduate Certificate,In Person,No,Special Education,https://catalog.pfw.edu/preview_program.php?catoid=50&poid=10772&returnto=1516
Indiana,Purdue University Fort Wayne,"Special Education, Certificate (Post-baccalaureate) in Mild Intervention",Special Education,Post Bac. Certificate,In Person,No,Special Education,https://catalog.pfw.edu/preview_program.php?catoid=61&poid=15929&hl=%22Special+Education%2C+Certificate+%28Post-baccalaureate%29+in+Mild+Intervention%22&returnto=search
Indiana,Purdue University Fort Wayne,Special Education (M.S.Ed.) With Exceptional Needs-Mild Intervention teaching license,Special Education,Masters,In Person,No,Special Education,https://catalog.pfw.edu/preview_program.php?catoid=61&poid=15928&hl=%22Special+Education+%28M.S.Ed%22&returnto=search
Indiana,Purdue University Northwest,"Elementary Education, BA, Concentration: Early Childhood Special Education",ECSE,Bachelors,In Person,No,ECE and Special Education,https://www.pnw.edu/program-finder/elementary-education-ba-concentration-early-childhood-special-education/
Indiana,Purdue University Northwest,"Elementary Education, BA, Concentration: Special Needs",Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,https://www.pnw.edu/program-finder/elementary-education-ba-concentration-special-needs/
Indiana,Purdue University Northwest,"Master of Science in Education: Education, Special Education, Mild Intervention (with License)",Special Education,Masters,In Person,No,Special Education,https://www.pnw.edu/program-finder/education-special-education-msed/
Indiana,Purdue University Northwest,"Master of Science in Education: Education, Special Education, Intense Intervention License",Special Education,Masters,In Person,No,Special Education,https://www.pnw.edu/program-finder/education-special-education-msed/
Indiana,Purdue University-Main Campus,Early Childhood and Exceptional Needs,Blended,Bachelors,In Person,No,Dual,https://catalog.purdue.edu/preview_program.php?catoid=16&poid=25175&returnto=20119 
Indiana,Purdue University-Main Campus,"Special Education/Elementary Education, BA",Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,https://catalog.purdue.edu/preview_program.php?catoid=16&poid=25120&returnto=20091
Indiana,Purdue University-Main Campus,"Special Education: Mild & Intense Intervention K-6, BA",Special Education,Bachelors,In Person,No,Special Education,https://catalog.purdue.edu/preview_program.php?catoid=16&poid=25565&returnto=20091
Indiana,Purdue University-Main Campus,"Transfer - Special Education/Mild Intervention P-12, BA",Special Education,Bachelors,In Person,No,Special Education,https://catalog.purdue.edu/preview_program.php?catoid=16&poid=25902&hl=%22special+education%22&returnto=search
Indiana,Purdue University-Main Campus,Special Education Non-Licensure Concentration,Special Education,No Degree,In Person,No,Special Education,https://catalog.purdue.edu/preview_program.php?catoid=16&poid=26622&hl=%22special+education%22&returnto=search
Indiana,Purdue University-Main Campus,"Additional Intense Intervention License, Blended & Online Teaching License, Master’s Degree Track 5",Blended,Masters,Online,No,Special Education,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education  https://online.purdue.edu/documents/programs/msed-in-special-education-additional-intense-licensure-masters.pdf
Indiana,Purdue University-Main Campus,"Additional Mild & Intense Intervention Licenses, Blended & Online Teaching License, Master’s Degree Track 3",Blended,Masters,Online,No,Special Education,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education   https://online.purdue.edu/documents/programs/msed-in-special-education-additional-mildandintense-licensure-masters.pdf
Indiana,Purdue University-Main Campus,"Additional Mild Intervention License, Blended & Online Teaching License, Master’s Degree Track 4",Special Education,Masters,Online,No,Special Education,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education   https://online.purdue.edu/documents/programs/msed-in-special-education-additional-mild-licensure-masters.pdf
Indiana,Purdue University-Main Campus,"Initial Mild & Intense Intervention Licenses, Blended & Online Teaching License, Master’s Degree Track 1",Special Education,Masters,Online,No,Special Education,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education  https://online.purdue.edu/documents/programs/msed-in-special-education-initial-mildandintense-licensure-masters.pdf
Indiana,Purdue University-Main Campus,"Initial Mild Intervention License, Blended & Online Teaching License, Master’s Degree Track 2",Special Education,Masters,Online,No,Special Education,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education   https://online.purdue.edu/documents/programs/msed-in-special-education-initial-mild-only-licensure-and-degree-masters.pdf
Indiana,Purdue University-Main Campus,"Online Special Education Program
Master’s Degree",Special Education,Masters,Online,No,No license,TWO LINKS: https://online.purdue.edu/programs/education/masters-special-education https://online.purdue.edu/documents/programs/msed-in-special-education-nonlicensure-masters-only.pdf
Indiana,Saint Mary's College,"Education, Elementary with Mild Intervention Licensure, K-6 - ELMI",Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,https://www.saintmarys.edu/profile-majors/mild-intervention-licensure-k-6
Indiana,Saint Mary-of-the-Woods College,Education: Preschool - Grade 3/Mild Intervention With Early Childhood/Mild Intervention Add-On to License,Dual,Bachelors,In Person or Online ,No,ECE and Special Education,THREE LINKS: https://smwc.smartcatalogiq.com/en/2020-2021/undergraduate-catalog/departments/education-department/degree-programs/preschool-grade-3-mild-intervention/   https://smwc.smartcatalogiq.com/en/2020-2021/undergraduate-catalog/departments/education-department/license-add-ons/early-childhood-mild-intervention-add-on-to-license/ Total credits: https://smwc.smartcatalogiq.com/2020-2021/Undergraduate-Catalog/Departments/Education-Department
Indiana,Saint Mary-of-the-Woods College,Early Childhood/Mild Intervention Baccalaureate Degree (Non-Licensure Program),Blended,Bachelors,In Person,No,No license,https://smwc.smartcatalogiq.com/en/2022-2023/undergraduate-catalog/departments/education-department/non-license-baccalaureate-degree-programs/early-childhood-mild-intervention-baccalaureate-degree-non-licensure-program/
Indiana,Saint Mary-of-the-Woods College,Special Education (Mild Intervention) Preschool-12 B.S.,Special Education,Bachelors,In Person,No,Special Education,https://smwc.smartcatalogiq.com/en/2022-2023/undergraduate-catalog/departments/education-department/degree-programs/special-education-mild-intervention-preschool-12-b-s/
Indiana,Saint Mary-of-the-Woods College,Mild Intervention: Grades P-12 Add-On to License,Special Education,No Degree,In Person,No,Special Education,https://smwc.smartcatalogiq.com/en/2022-2023/undergraduate-catalog/departments/education-department/license-add-ons/mild-intervention-grades-p-12-school-add-on-to-license/
Indiana,Saint Mary-of-the-Woods College,P-12 Intense Intervention Add-On to License,Special Education,No Degree,In Person,No,Special Education,https://smwc.smartcatalogiq.com/en/2022-2023/undergraduate-catalog/departments/education-department/license-add-ons/p-12-intense-intervention-add-on-to-license/
Indiana,Saint Mary-of-the-Woods College,P-12 Intense Intervention Add-On to License (for undergraduates),Special Education,No Degree,In Person,No,Special Education,https://smwc.smartcatalogiq.com/en/2022-2023/undergraduate-catalog/departments/education-department/license-add-ons/p-12-intense-intervention-add-on-to-license-for-undergraduates/
Indiana,Taylor University,Elementary Education (BA or BS) SpEd Intense P-12 Licensure,Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,THREE LINKS: Page 151 and 152 https://www.taylor.edu/docs/offices/registrar/undergrad-catalog/current/catalog.pdf    https://www.taylor.edu/majors/elementary-education   https://www.taylor.edu/majors/special-education
Indiana,Taylor University,Elementary Education (BA or BS) SpEd Mild-Moderate P-12 Licensure,Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,THRE LINKS: Page 151 and 152 https://www.taylor.edu/docs/offices/registrar/undergrad-catalog/current/catalog.pdf    https://www.taylor.edu/majors/elementary-education   https://www.taylor.edu/majors/special-education
Indiana,Taylor University,Intense Intervention Licensure Program,Special Education,No Degree,Online,No,Special Education,https://www.taylor.edu/online/programs-licensures/intense-intervention-licensure
Indiana,Taylor University,Mild Intervention Licensure Program,Special Education,No Degree,Online,No,Special Education,https://www.taylor.edu/online/programs-licensures/mild-intervention-licensure
Indiana,Taylor University,Transition to Teaching - Special Education,Special Education,No Degree,Online,Yes,Special Education,https://www.taylor.edu/online/programs-licensures/transition-to-teaching
Indiana,Trine University,Special Education: Mild Intervention (P-12) Dual Licensure for Education Majors,Special Education,Bachelors,In Person,No,Special Education,TWO LINKS: https://www.trine.edu/academics/majors-degrees/undergraduate/bs-dual-licensure-education/index.aspx   https://www.trine.edu/academics/majors-degrees/undergraduate/bs-dual-licensure-education/courses.aspx
Indiana,University of Evansville,Mild Intervention licensure (available to education majors),Special Education,No Degree,In Person,No,Special Education,https://www.evansville.edu/majors/education/special-education.cfm
Indiana,University of Evansville,Intense intervention licensure (available to education majors),Special Education,No Degree,In Person,No,Special Education,https://www.evansville.edu/majors/education/special-education.cfm
Indiana,University of Indianapolis,TRANSITION TO TEACHING (T2T) LICENSURE ONLY PROGRAM IN MILD INTERVENTIONS,Special Education,No Degree,Online,Yes,Special Education,https://uindy.edu/education/certification/transition-to-teaching
Indiana,University of Indianapolis,Mild Interventions Certificate,Special Education,Graduate Certificate,"Hybrid, In Person, or Online",No,Special Education,https://uindy.edu/education/certification/mild-intervention-certification
Indiana,University of Notre Dame,"Program for Inclusive Education, Mild Intervention Licensure",Special Education,No Degree,Hybrid or Online,No,Special Education,https://ace.nd.edu/programs/inclusion/apply#course-descriptions
Indiana,University of Saint Francis-Fort Wayne,"Special Education, B.S.Ed",Special Education,Bachelors,In Person,No,Special Education,https://catalog.sf.edu/preview_program.php?catoid=8&poid=762&hl=%22Special+Education%22&returnto=search
Indiana,University of Saint Francis-Fort Wayne,Transition to Teaching: Intense Intervention Licensure,Special Education,No Degree,In Person,Yes,Special Education,https://www.sf.edu/programs/transition-to-teaching-t2t/
Indiana,University of Saint Francis-Fort Wayne,Transition to Teaching: Mild Intervention Licensure,Special Education,No Degree,In Person,Yes,Special Education,https://www.sf.edu/programs/transition-to-teaching-t2t/
Indiana,University of Saint Francis-Fort Wayne,"Master of Science in Education (M.S.Ed.) — Special Education, intense licensure",Special Education,Masters,Online,No,Special Education,TWO LINKS: https://www.sf.edu/programs/special-education-m-s-ed/   https://catalog.sf.edu/preview_program.php?catoid=7&poid=632&returnto=191&_gl=1*wcrf2h*_ga*NjA5ODExNTQxLjE3MDc4NDIzNTE.*_ga_D8Z5QBEHVB*MTcwNzg0MjM1MS4xLjEuMTcwNzg0MjgwMS4yNC4wLjA.&_ga=2.256519755.1123804320.1707842351-609811541.1707842351
Indiana,University of Saint Francis-Fort Wayne,"Master of Science in Education (M.S.Ed.) — Special Education, mild licensure",Special Education,Masters,Online,No,Special Education,TWO LINKS: https://www.sf.edu/programs/special-education-m-s-ed/   https://catalog.sf.edu/preview_program.php?catoid=7&poid=632&returnto=191&_gl=1*wcrf2h*_ga*NjA5ODExNTQxLjE3MDc4NDIzNTE.*_ga_D8Z5QBEHVB*MTcwNzg0MjM1MS4xLjEuMTcwNzg0MjgwMS4yNC4wLjA.&_ga=2.256519755.1123804320.1707842351-609811541.1707842351
Indiana,University of Southern Indiana,"Early Childhood Education Major, B.A./B.S Special Education Minor",Dual,Bachelors,In Person,No,Elementary Ed and Special Education,TWO LINKS: https://bulletin.usi.edu/preview_program.php?catoid=44&poid=5464&returnto=2890    https://bulletin.usi.edu/preview_program.php?catoid=49&poid=6118&returnto=3218
Indiana,University of Southern Indiana,"Special Education Major, B.A./B.S.",Special Education,Bachelors,In Person,No,Special Education,https://bulletin.usi.edu/preview_program.php?catoid=44&poid=5466&hl=%22Special+Education+Major%2C+B.A.%2FB.S.%22&returnto=search
Indiana,Vincennes University,"Special Education, Mild Intervention K-12 (B.S.)",Special Education,Bachelors,In Person,No,Elementary Ed and Special Education,https://www.vinu.edu/web/guest/major/special-education-mild-intervention-k-12-b-s-
